species	most_common_phage	region	score	phage_nc_id	cds_hits	epithet	phage_family
B. mycoides KBAB4	Paenibacillus Tripp	5	130	028930	28	mycoides	Siphoviridae
B. mycoides VD146	Bacillus BtCS33	2	120	018085	6	mycoides	Siphoviridae
B. mycoides VD146	Bacillus BtCS33	2	120	018085	6	mycoides	Siphoviridae
B. mycoides VD146	Bacillus WBeta	1	140	007734	9	mycoides	Siphoviridae
B. pumilus 7P	Bacillus phi105	1	91	004167	30	pumilus	Siphoviridae
B. pumilus NCTC10337	Paenibacillus Tripp	3	150	028930	26	pumilus	Siphoviridae
B. pumilus SH-B9	Thermus phi OH2	4	150	021784	5	pumilus	Myoviridae
B. subtilis subsp subtilis NCIB 3610	Bacillus SPbeta	3	140	001884	175	subtilis	Siphoviridae
B. subtilis subsp subtilis NCIB 3610	Thermus phi OH2	2	130	021784	5	subtilis	Myoviridae
B. subtilis subsp. inaquosorum KCTC 13429	Bacillus phi105	5	150	004167	8	subtilis	Siphoviridae
B. subtilis subsp. inaquosorum KCTC 13429	Thermus phi OH2	2	100	021784	5	subtilis	Myoviridae
B. subtilis subsp. natto BEST195	Bacillus phi105	5	140	004167	16	subtilis	Siphoviridae
B. subtilis subsp. spizizenii TU-B-10	Thermus phi OH2	5	100	021784	5	subtilis	Myoviridae
B. subtilis subsp. spizizenii W23	Thermus phi OH2	1	100	021784	5	subtilis	Myoviridae
B. subtilis subsp. stercoris D7XPN1	Clostridium phiCT9441A	1	110	029022	8	subtilis	Myoviridae
B. subtilis subsp. subtilis 168	Bacillus SPbeta	3	139	001884	174	subtilis	Siphoviridae
B. subtilis subsp. subtilis 168	Thermus phi OH2	2	120	021784	5	subtilis	Myoviridae
B. subtilis subsp. subtilis BAB-1	Thermus phi OH2	1	110	021784	5	subtilis	Myoviridae
B. subtilis subsp. subtilis PY79	Thermus phi OH2	1	110	021784	5	subtilis	Myoviridae
B. tequilensis ATCC BAA 819	Brevibacillus Jenst	2	150	028805	70	tequilensis	Siphoviridae
B. tequilensis ATCC BAA 819	Clostridium phiCT9441A	3	110	029022	7	tequilensis	Myoviridae
B. thuringiensis ATCC 10792	Bacillus phBC6A51	3	98	004820	49	thuringiensis	Siphoviridae
B. thuringiensis ATCC 10792	Bacillus virus 1	5	100	009737	6	thuringiensis	Myoviridae
B. thuringiensis Bt407	Bacillus phBC6A51	3	150	004820	49	thuringiensis	Siphoviridae
B. thuringiensis CT-43	Bacillus phBC6A51	2	120	004820	58	thuringiensis	Siphoviridae
B. thuringiensis CT-43	Bacillus phBC6A52	4	130	004821	18	thuringiensis	Siphoviridae
B. thuringiensis CT-43	Bacillus phBC6A52	5	120	004821	9	thuringiensis	Siphoviridae
B. thuringiensis IBL 200	Bacillus phi4J1	7	150	029008	18	thuringiensis	Siphoviridae
B. thuringiensis IBL 200	Brevibacillus Jenst	2	130	028805	33	thuringiensis	Siphoviridae
B. velezensis Bs-916	Thermus phi OH2	1	100	021784	5	velezensis	Myoviridae
Clostridium kluyveri DSM 555	Bacillus BalMu1	3	100	030945	15	kluyveri	Myoviridae
Clostridium kluyveri DSM 555	Clostridium phiCD27	2	120	011398	21	kluyveri	Myoviridae
Clostridium kluyveri DSM 555	Clostridium phiMMP02	6	150	019421	15	kluyveri	Myoviridae
Clostridium kluyveri DSM 555	Clostridium phiSM101	7	150	008265	8	kluyveri	Siphoviridae
Clostridium kluyveri DSM 555	Clostridium phiSM101	8	150	008265	8	kluyveri	Siphoviridae
